id,interval,users,size,consistency,name,number,average,median,90_line,95_line,99_line,min,max,error
1,50,10,10,ONE,test_1,16395,125,121,159,175,217,63,525,"0,00%"
2,100,10,10,ONE,test_2,15600,87,83,119,133,161,43,286,"0,00%"
3,500,10,10,ONE,test_3,5302,58,57,66,70,78,50,133,"0,00%"
4,1000,10,10,ONE,test_4,2841,47,47,51,54,63,43,116,"0,00%"
5,50,20,10,ONE,test_5,11536,462,458,562,605,777,66,1236,"0,00%"
6,100,20,10,ONE,test_6,13412,339,309,513,547,611,65,1057,"0,00%"
7,500,20,10,ONE,test_7,10364,72,66,100,112,162,44,318,"0,00%"
8,1000,20,10,ONE,test_8,5670,49,47,58,63,83,43,118,"0,00%"
9,50,30,10,ONE,test_9,12410,667,544,765,944,5025,56,12157,"1,21%"
10,100,30,10,ONE,test_10,16964,424,438,563,601,710,62,964,"0,00%"
11,500,30,10,ONE,test_11,14821,101,91,141,170,309,43,1035,"0,00%"
12,1000,30,10,ONE,test_12,8389,64,58,89,100,139,43,207,"0,00%"
13,50,40,10,ONE,test_13,11168,1021,876,1142,1580,12033,54,12822,"1,43%"
14,100,40,10,ONE,test_14,4420,2666,1843,5026,12093,12214,100,13293,"10,86%"
15,500,40,10,ONE,test_15,11553,530,528,682,729,862,77,1253,"0,00%"
16,1000,40,10,ONE,test_16,10956,84,76,100,112,293,51,1160,"0,00%"
17,50,50,10,ONE,test_17,10395,1388,1210,1598,2280,12098,1,12326,"20,75%"
18,100,50,10,ONE,test_18,12757,1069,928,1525,2064,12100,0,12996,"33,32%"
19,500,50,10,ONE,test_19,10156,969,825,1056,1162,12086,1,12602,"6,40%"
20,1000,50,10,ONE,test_20,13475,104,92,167,199,292,43,587,"0,00%"
21,50,10,50,ONE,test_21,16357,125,122,159,173,216,66,520,"0,00%"
22,100,10,50,ONE,test_22,12342,135,135,163,172,189,57,308,"0,00%"
23,500,10,50,ONE,test_23,5410,48,47,57,60,68,43,133,"0,00%"
24,1000,10,50,ONE,test_24,2808,56,55,61,62,66,50,124,"0,00%"
25,50,20,50,ONE,test_25,11466,466,462,570,615,785,81,1209,"0,00%"
26,100,20,50,ONE,test_26,13522,336,306,514,551,620,63,1335,"0,00%"
27,500,20,50,ONE,test_27,10273,74,72,92,99,118,52,486,"0,00%"
28,1000,20,50,ONE,test_28,5662,51,49,61,66,81,43,149,"0,00%"
29,50,30,50,ONE,test_29,10967,762,758,995,1161,1416,103,1997,"0,00%"
30,100,30,50,ONE,test_30,16725,432,446,583,625,737,56,1554,"0,00%"
31,500,30,50,ONE,test_31,14892,99,90,138,163,281,43,975,"0,00%"
