id,users,lines,duration,consistency
1,10,1000,180,ONE
2,20,1000,180,ONE
3,30,1000,180,ONE
4,40,1000,180,ONE
5,50,1000,180,ONE
6,55,1000,180,ONE
7,60,1000,180,ONE
8,65,1000,180,ONE
9,70,1000,180,ONE
10,75,1000,180,ONE
11,80,1000,180,ONE
12,85,1000,180,ONE
13,90,1000,180,ONE
14,95,1000,180,ONE
15,100,1000,180,ONE
16,10,1000,180,QUORUM
17,20,1000,180,QUORUM
18,30,1000,180,QUORUM
19,40,1000,180,QUORUM
20,50,1000,180,QUORUM
21,55,1000,180,QUORUM
22,60,1000,180,QUORUM
23,65,1000,180,QUORUM
24,70,1000,180,QUORUM
25,75,1000,180,QUORUM
26,80,1000,180,QUORUM
27,85,1000,180,QUORUM
28,90,1000,180,QUORUM
29,95,1000,180,QUORUM
30,100,1000,180,QUORUM
31,10,1000,180,ALL
32,20,1000,180,ALL
33,30,1000,180,ALL
34,40,1000,180,ALL
35,50,1000,180,ALL
36,55,1000,180,ALL
37,60,1000,180,ALL
38,65,1000,180,ALL
39,70,1000,180,ALL
40,75,1000,180,ALL
41,80,1000,180,ALL
42,85,1000,180,ALL
43,90,1000,180,ALL
44,95,1000,180,ALL
45,100,1000,180,ALL
