id,users,lines,duration,consistency
1,10,10000,100,ONE
2,20,10000,100,ONE
3,30,10000,100,ONE
4,40,10000,100,ONE
5,50,10000,100,ONE
6,60,10000,100,ONE
7,70,10000,100,ONE
8,80,10000,100,ONE
9,90,10000,100,ONE
10,100,10000,100,ONE
11,10,10000,100,QUORUM
12,20,10000,100,QUORUM
13,30,10000,100,QUORUM
14,40,10000,100,QUORUM
15,50,10000,100,QUORUM
16,60,10000,100,QUORUM
17,70,10000,100,QUORUM
18,80,10000,100,QUORUM
19,90,10000,100,QUORUM
20,100,10000,100,QUORUM
21,10,10000,100,ALL
22,20,10000,100,ALL
23,30,10000,100,ALL
24,40,10000,100,ALL
25,50,10000,100,ALL
26,60,10000,100,ALL
27,70,10000,100,ALL
28,80,10000,100,ALL
29,90,10000,100,ALL
30,100,2000,100,ALL
